agent_id,user_id,cohort_id,activity_score,activity_level,strategy
A0010,226062,C4,876.2646,high,hybrid_activity_behavior
A0009,2481,C4,890.4535,high,hybrid_activity_behavior
A0008,24887,C4,1081.3903,high,hybrid_activity_behavior
A0007,46455,C4,1096.7896,high,hybrid_activity_behavior
A0006,34218,C4,1097.6285,high,hybrid_activity_behavior
A0005,64830,C4,1265.1684,high,hybrid_activity_behavior
A0004,24884,C4,1331.652,high,hybrid_activity_behavior
A0003,683,C4,2018.8506,high,hybrid_activity_behavior
A0002,33695,C4,2063.9488,high,hybrid_activity_behavior
A0001,24957,C4,2430.9047,high,hybrid_activity_behavior
A0000,37717,C4,3512.1663,high,hybrid_activity_behavior
