user_id,post_count,like_count_sum,reply_count_sum,repost_count_sum,quote_count
46702,21,475,30,162,3
46713,56,1537,53,523,5
46716,1,4,1,0,0
46756,334,31365,2221,4724,24
46801,7,19,1,3,0
46831,52,404,26,119,12
48023,229,446,92,114,41
49038,220,585,63,170,18
49081,59,585,29,10,1
49138,22,1146,47,256,1
49159,2,43,3,9,0
49208,6,74,10,15,0
50953,1,0,0,0,0
51039,7,68,2,4,1
53871,3,325,12,182,2
53872,34,1310,31,328,7
54754,5,51,12,19,0
55067,4,57,8,8,0
55502,22,474,23,110,10
55961,1,3,0,1,0
57426,6,525,18,113,0
58159,2,7,0,4,0
59128,45,173,36,21,0
59723,44,689,53,78,7
59803,3,16,2,1,0
59908,44,988,58,46,0
59996,2,162,10,13,0
60896,2,22,0,2,0
61595,297,8223,402,2148,106
61675,93,677,53,143,4
61731,44,202,14,97,8
63168,1,5,3,2,0
63813,51,1626,82,459,14
63822,1318,3160,471,611,515
63911,11,74,4,30,3
63996,8,27,0,7,4
64000,105,3120,187,915,32
64017,29,15,7,3,9
64044,5,22,0,4,0
64082,2,3,1,1,1
64492,238,1325,102,291,51
64509,722,30899,1690,4821,281
64830,1086,58679,4779,7399,432
64833,261,5021,269,547,10
64885,144,3754,213,924,98
64913,289,1582,207,206,41
65007,46,720,56,124,10
65020,1,20,2,11,0
65061,7,6,1,1,0
65725,23,44,14,9,8
66009,158,331,52,27,11
66218,24,551,52,168,6
66823,8,3,1,0,3
66889,357,911,146,84,16
67103,80,1487,86,381,37
67180,5,5,0,0,0
67426,42,460,39,65,11
67514,2,53,6,0,0
67541,1,3,0,0,0
67597,6,24,1,10,0
68745,11,56,4,9,5
68752,16,121,11,6,4
68932,4,32,0,6,1
69466,66,135,17,37,10
69499,28,196,28,17,2
69500,12,16,1,1,5
69544,10,117,3,48,3
69708,2,21,6,1,0
69728,1,2,1,0,0
69845,27,264,4,74,0
69886,20,38,5,1,0
69972,118,526,28,106,1
70173,3,21,0,26,1
71701,116,960,52,607,71
73071,2,17,4,0,0
73170,27,557,52,32,2
73186,2,7,1,0,0
74199,956,6970,1138,574,270
74740,17,148,7,62,1
74919,86,708,61,23,5
75400,23,25,9,4,16
75524,14,24,5,4,0
75594,9,70,10,5,0
76024,8,80,3,26,0
76989,10,182,6,75,0
77174,5,44,2,9,0
77335,39,1163,38,289,13
80719,33,752,34,154,12
81413,692,7834,477,2640,383
81556,7,54,18,2,0
81815,1,1,1,0,0
82093,6,66,7,1,0
82449,37,609,64,94,3
82798,12,73,10,14,0
83711,35,402,15,107,0
84064,5,211,8,76,0
84786,1,2,1,0,0
85763,72,7536,276,1826,16
87121,277,1526,178,201,63
88053,112,10533,535,1588,7
88411,354,2361,400,115,19
88581,290,5600,574,482,28
88616,167,2230,191,908,27
88618,11,34,3,5,6
88623,21,66,6,25,4
88639,220,1881,268,557,114
88739,1,23,1,3,0
89144,27,21,11,3,1
89531,9,7,1,1,0
89757,5,70,8,18,0
89845,119,501,86,26,2
89878,1,5,0,2,0
91264,2,154,9,4,1
91583,7,11,2,10,1
92535,14,33,13,7,0
93028,9,20,1,8,0
93051,4,3,1,0,1
94121,11,4,0,0,0
94421,68,365,25,67,15
95728,463,3509,617,340,295
96974,7,53,4,2,0
98351,58,32,11,3,18
98486,542,628,89,37,56
99194,4,1,0,0,0
99563,64,283,13,22,26
99823,8,10,1,5,0
100636,1,0,0,0,1
100655,4,3,1,0,1
100727,176,1037,72,304,83
100783,477,2106,294,273,140
